       7245.1665       1577.4011 GOOD NeI    
#       7265.1720       459.16553 GOOD ArI    
#       7272.9350       3953.8867 GOOD ArI    
       7281.3510       598.67865 GOOD HeI    
#       7311.7160       399.16574 GOOD ArI    
#       7353.2930       559.37524 GOOD ArI    
#       7372.1170       1042.9667 GOOD ArI    
       7383.9800       20502.332 GOOD ArI   
#       7412.3370       352.98651 GOOD ArI    
#       7425.2940       315.12372 GOOD ArI    
#       7435.3680       1005.8734 GOOD ArI    
#       7488.8712       907.66779 GOOD NeI    
       7503.8680       32999.129 GOOD ArI    
       7514.6510       23681.730 GOOD ArI    
       7635.1050       34944.699 GOOD ArI    
       7724.1500       24769.660 BLEND ArI    
#       7891.0750       321.68317 GOOD ArI    
       7948.1760       17083.844 GOOD ArI    
       8006.1560       12747.557 GOOD ArI    
       8014.7850       22407.045 GOOD ArI    
       8103.6920       23134.232 GOOD ArI    
       8115.3110       43693.871 GOOD ArI    
       8264.5210       11894.750 GOOD ArI    
#       8300.3248       334.12546 GOOD NeI    
       8377.6062       1113.9656 GOOD NeI    
#       8408.2090       19344.791 GOOD ArI    
       8424.6470       26490.041 GOOD ArI    
#       8495.3591       654.82379 GOOD NeI    
       8521.4410       11058.074 GOOD ArI    
#       8634.6472       309.67972 GOOD NeI    
#       8654.3837       661.67981 GOOD NeI    
       8667.9430       3574.1121 GOOD ArI    
#       8679.4898       308.86417 GOOD NeI    
#       8771.8600       183.33971 GOOD ArII   
#       8780.6223       599.91150 GOOD NeI    
#       8849.9100       240.44856 GOOD ArI    
#       8865.7562       185.03210 GOOD NeI    
       9122.9670       20340.846 GOOD ArI    
       9224.4980       5000.00     GOOD ArI
