       4902.0547        1894.7070 GOOD ThI
       4902.7944        703.69806 GOOD ThI
       4903.0581        126.26339 GOOD ThI
       4904.7515        1294.0302 GOOD ArII
       4907.2095        284.63690 GOOD Th
       4909.8433        139.18777 GOOD ThI
       4910.1577        1587.0564 GOOD ThI
       4910.5488        120.22808 GOOD ThI
       4910.7930        932.30670 GOOD ThI
       4911.1357        129.09856 GOOD ThII
       4911.3789        872.85028 GOOD ThI
       4912.0430        130.99231 GOOD ThI
       4912.5293        1210.2607 GOOD ThII
       4914.1211        110.93913 GOOD ThII
       4915.4155        150.87944 GOOD ThI
       4917.8218        65.395103 GOOD ThI
       4919.8159        12729.751 GOOD ThII
       4921.6133        1217.7820 GOOD ThII
       4922.9443        483.42487 GOOD ThII
       4924.4224        552.64172 GOOD ThII
       4925.4253        262.71579 GOOD ThII
       4925.9502        470.10031 GOOD Th
       4926.2529        85.012695 GOOD ThI
       4927.2988        364.60019 GOOD ThI
       4927.7803        2875.1152 GOOD ThI
       4929.0859        600.12225 GOOD ThI
       4929.9849        412.11172 GOOD ThII
       4933.2090        2426.4583 GOOD ArII
       4933.8521        784.02643 GOOD ThII
       4934.3306        50.724869 GOOD ThI
       4935.9282        104.51244 GOOD ThI
       4936.7744        2139.1021 GOOD ThI
       4937.8296        2915.0869 GOOD ThI
       4938.5049        549.64014 GOOD Th
       4939.0605        97.231781 GOOD ThI
       4939.2705        224.13040 GOOD ThI
       4939.6421        9181.2129 GOOD ThI
       4941.4160        216.15321 GOOD ThI
       4943.0640        5022.6343 GOOD ThI
       4943.7075        167.73988 GOOD Th
       4945.4585        12307.562 GOOD ThI
       4946.6636        1633.2570 GOOD ThII
       4947.5752        995.94879 GOOD ThII
       4950.2515        442.06064 GOOD ThI
       4950.6265        1303.0933 GOOD ThII
       4952.6909        272.45462 GOOD ThI
       4953.5322        83.174301 GOOD ThI
       4957.2964        360.78720 GOOD Th
       4958.0986        382.07043 GOOD ThI
       4958.7241        176.36458 GOOD ThII
       4961.3813        75.412460 GOOD ThI
       4961.7261        780.11072 GOOD ThI
       4962.0620        126.68594 GOOD ThI
       4963.1880        366.39807 GOOD ThII
       4965.0796        14628.164 GOOD ArII
       4965.7314        2391.4880 GOOD ThI
       4967.0630        58.230072 GOOD ThII
       4967.6528        78.804611 GOOD ThI
       4968.7554        803.46832 GOOD ThII
       4970.0786        874.30872 GOOD ThI
       4972.1597        1289.1565 GOOD ArII
       4975.0918        104.87521 GOOD ThI
       4975.9487        299.42560 GOOD ThII
       4976.5938        167.10519 GOOD ThII
       4977.3906        121.50600 GOOD ThI
       4980.1860        2021.6487 GOOD ThI
       4980.7559        124.99650 GOOD ThI
       4980.9512        396.10342 GOOD ThII
       4982.4873        3081.9246 GOOD ThI
       4983.5322        80.641373 GOOD Th
       4985.3726        7864.2075 GOOD ThI
       4985.9487        262.67770 GOOD ThI
       4987.1470        618.69366 GOOD ThII
       4987.5581        352.26624 GOOD Th
       4989.3086        2889.6877 GOOD ThI
       4990.0322        110.28936 GOOD ThII
       4991.2036        71.808006 GOOD ThI
       4992.1255        254.14308 GOOD ThI
       4992.6372        180.60707 GOOD ThI
       4993.7490        1018.4299 GOOD ThI
       4994.1060        440.76447 GOOD ThI
       4995.2983        79.908104 GOOD Th
       4996.5332        62.815369 GOOD Th
       4997.8188        184.54930 GOOD ThII
       4999.2388        72.768723 GOOD ThI
       4999.9399        429.22083 GOOD ThII
       5000.2461        322.32828 GOOD ThI
       5002.0972        18491.633 GOOD ThI
       5002.8931        88.477654 GOOD ThI
       5003.5981        1210.9767 GOOD ThI
       5004.1279        801.23450 GOOD ThI
       5005.9751        84.295212 GOOD ThI
       5008.1899        140.25981 GOOD ThII
       5009.3345        4448.2754 GOOD ArII
       5009.9365        272.77527 GOOD ThI
       5010.4175        186.04164 GOOD ThI
       5011.4775        249.52277 GOOD ThI
       5012.2754        63.485668 GOOD ThI
       5013.1646        63.071358 GOOD Th
       5014.4482        66.193787 GOOD ThI
       5014.7539        138.78525 GOOD Th
       5015.8892        1031.8652 GOOD ThII
       5016.5356        527.69037 GOOD ThI
       5017.1626        7681.2549 GOOD ArII
       5017.5083        1163.0803 GOOD ThI
       5018.0537        400.94424 GOOD ThI
       5019.3242        386.25482 GOOD ThII
       5019.8062        4239.8047 GOOD ThI
       5020.5459        284.30307 GOOD ThII
       5021.2529        188.81995 GOOD ThI
       5022.0049        1286.8442 GOOD ThI
       5022.1738        484.16962 GOOD Th
       5023.7085        536.44330 GOOD ThI
       5024.6123        51.144329 GOOD Th
       5026.9551        117.25746 GOOD ThI
       5028.6558        12129.341 GOOD ThI
       5029.0117        416.08109 GOOD ThI
       5029.6294        323.62732 GOOD ThII
       5029.8916        2821.6587 GOOD ThI
       5031.8149        119.61710 GOOD ThI
       5034.2944        117.72843 GOOD ThI
       5035.3374        154.31017 GOOD Th
       5036.7285        223.86372 GOOD ThI
       5038.3018        221.48497 GOOD ThI
       5039.2305        11103.361 GOOD ThI
       5039.5264        703.12311 GOOD ThI
       5040.6807        493.42877 GOOD ThI
       5041.1226        737.19214 GOOD ThI
       5041.5996        613.33362 GOOD Th
       5043.5146        350.49603 GOOD ThI
       5044.7197        23337.500 GOOD ThI
       5045.2480        3085.1707 GOOD ThI
       5046.3525        557.64771 GOOD Th
       5046.6372        422.74380 GOOD Th
